Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
HYDE PARK,CASES 2002 MALE 15-44,31,2002,MALE,CHL
WOODLAWN,CASES 2002 MALE 15-44,146,2002,MALE,CHL
SOUTH SHORE,CASES 2002 MALE 15-44,268,2002,MALE,CHL
CHATHAM,CASES 2002 MALE 15-44,105,2002,MALE,CHL
AVALON PARK,CASES 2002 MALE 15-44,51,2002,MALE,CHL
SOUTH CHICAGO,CASES 2002 MALE 15-44,142,2002,MALE,CHL
BURNSIDE,CASES 2002 MALE 15-44,15,2002,MALE,CHL
CALUMET HEIGHTS,CASES 2002 MALE 15-44,42,2002,MALE,CHL
ROSELAND,CASES 2002 MALE 15-44,314,2002,MALE,CHL
PULLMAN,CASES 2002 MALE 15-44,34,2002,MALE,CHL
SOUTH DEERING,CASES 2002 MALE 15-44,55,2002,MALE,CHL
EAST SIDE,CASES 2002 MALE 15-44,15,2002,MALE,CHL
WEST PULLMAN,CASES 2002 MALE 15-44,165,2002,MALE,CHL
RIVERDALE,CASES 2002 MALE 15-44,41,2002,MALE,CHL
HEGEWISCH,CASES 2002 MALE 15-44,0,2002,MALE,CHL
GARFIELD RIDGE,CASES 2002 MALE 15-44,36,2002,MALE,CHL
ARCHER HEIGHTS,CASES 2002 MALE 15-44,8,2002,MALE,CHL
BRIGHTON PARK,CASES 2002 MALE 15-44,38,2002,MALE,CHL
MCKINLEY PARK,CASES 2002 MALE 15-44,9,2002,MALE,CHL
BRIDGEPORT,CASES 2002 MALE 15-44,11,2002,MALE,CHL
NEW CITY,CASES 2002 MALE 15-44,213,2002,MALE,CHL
WEST ELSDON,CASES 2002 MALE 15-44,9,2002,MALE,CHL
GAGE PARK,CASES 2002 MALE 15-44,55,2002,MALE,CHL
CLEARING,CASES 2002 MALE 15-44,0,2002,MALE,CHL
WEST LAWN,CASES 2002 MALE 15-44,22,2002,MALE,CHL
CHICAGO LAWN,CASES 2002 MALE 15-44,192,2002,MALE,CHL
WEST ENGLEWOOD,CASES 2002 MALE 15-44,329,2002,MALE,CHL
ENGLEWOOD,CASES 2002 MALE 15-44,274,2002,MALE,CHL
GREATER GRAND CROSSING,CASES 2002 MALE 15-44,195,2002,MALE,CHL
ASHBURN,CASES 2002 MALE 15-44,50,2002,MALE,CHL
AUBURN GRESHAM,CASES 2002 MALE 15-44,304,2002,MALE,CHL
BEVERLY,CASES 2002 MALE 15-44,19,2002,MALE,CHL
WASHINGTON HEIGHTS,CASES 2002 MALE 15-44,108,2002,MALE,CHL
MOUNT GREENWOOD,CASES 2002 MALE 15-44,8,2002,MALE,CHL
MORGAN PARK,CASES 2002 MALE 15-44,69,2002,MALE,CHL
O'HARE,CASES 2002 MALE 15-44,5,2002,MALE,CHL
EDGEWATER,CASES 2002 MALE 15-44,81,2002,MALE,CHL
ROGERS PARK,CASES 2003 MALE 15-44,84,2003,MALE,CHL
WEST RIDGE,CASES 2003 MALE 15-44,32,2003,MALE,CHL
UPTOWN,CASES 2003 MALE 15-44,88,2003,MALE,CHL
LINCOLN SQUARE,CASES 2003 MALE 15-44,24,2003,MALE,CHL
NORTH CENTER,CASES 2003 MALE 15-44,16,2003,MALE,CHL
LAKE VIEW,CASES 2003 MALE 15-44,94,2003,MALE,CHL
LINCOLN PARK,CASES 2003 MALE 15-44,30,2003,MALE,CHL
NEAR NORTH SIDE,CASES 2003 MALE 15-44,77,2003,MALE,CHL
EDISON PARK,CASES 2003 MALE 15-44,0,2003,MALE,CHL
NORWOOD PARK,CASES 2003 MALE 15-44,0,2003,MALE,CHL
JEFFERSON PARK,CASES 2003 MALE 15-44,0,2003,MALE,CHL
FOREST GLEN,CASES 2003 MALE 15-44,0,2003,MALE,CHL
NORTH PARK,CASES 2003 MALE 15-44,6,2003,MALE,CHL
NEAR WEST SIDE,CASES 2003 MALE 15-44,133,2003,MALE,CHL
ALBANY PARK,CASES 2003 MALE 15-44,33,2003,MALE,CHL
PORTAGE PARK,CASES 2003 MALE 15-44,18,2003,MALE,CHL
IRVING PARK,CASES 2003 MALE 15-44,32,2003,MALE,CHL
DUNNING,CASES 2003 MALE 15-44,7,2003,MALE,CHL
MONTCLAIRE,CASES 2003 MALE 15-44,5,2003,MALE,CHL
BELMONT CRAGIN,CASES 2003 MALE 15-44,52,2003,MALE,CHL
HERMOSA,CASES 2003 MALE 15-44,23,2003,MALE,CHL
AVONDALE,CASES 2003 MALE 15-44,34,2003,MALE,CHL
LOGAN SQUARE,CASES 2003 MALE 15-44,74,2003,MALE,CHL
HUMBOLDT PARK,CASES 2003 MALE 15-44,167,2003,MALE,CHL
WEST TOWN,CASES 2003 MALE 15-44,110,2003,MALE,CHL
AUSTIN,CASES 2003 MALE 15-44,503,2003,MALE,CHL
WEST GARFIELD PARK,CASES 2003 MALE 15-44,113,2003,MALE,CHL
EAST GARFIELD PARK,CASES 2003 MALE 15-44,102,2003,MALE,CHL
NORTH LAWNDALE,CASES 2003 MALE 15-44,216,2003,MALE,CHL
SOUTH LAWNDALE,CASES 2003 MALE 15-44,98,2003,MALE,CHL
LOWER WEST SIDE,CASES 2003 MALE 15-44,35,2003,MALE,CHL
LOOP,CASES 2003 MALE 15-44,14,2003,MALE,CHL
NEAR SOUTH SIDE,CASES 2003 MALE 15-44,22,2003,MALE,CHL
ARMOUR SQUARE,CASES 2003 MALE 15-44,16,2003,MALE,CHL
DOUGLAS,CASES 2003 MALE 15-44,73,2003,MALE,CHL
OAKLAND,CASES 2003 MALE 15-44,19,2003,MALE,CHL
FULLER PARK,CASES 2003 MALE 15-44,13,2003,MALE,CHL
GRAND BOULEVARD,CASES 2003 MALE 15-44,108,2003,MALE,CHL
KENWOOD,CASES 2003 MALE 15-44,54,2003,MALE,CHL
WASHINGTON PARK,CASES 2003 MALE 15-44,69,2003,MALE,CHL
