,Community Area Name,CASES 2001 Male 15-44,CASES 2002 Male 15-44,CASES 2003 Male 15-44,CASES 2004 Male 15-44,CASES 2005 Male 15-44,CASES 2006 Male 15-44,CASES 2007 Male 15-44,CASES 2008 Male 15-44,CASES 2009 Male 15-44,CASES 2010 Male 15-44,CASES 2011 Male 15-44,CASES 2012 MALE 15-44,CASES 2013 Male 15-44,CASES 2014 Male 15-44,Cases 2000 Female 15-44,Cases 2001 Female 15-44,Cases 2002 Female 15-44,Cases 2003 Female 15-44,Cases 2004 Female 15-44,Cases 2005 Female 15-44,Cases 2006 Female 15-44,Cases 2007 Female 15-44,Cases 2008 Female 15-44,Cases 2009 Female 15-44,Cases 2010 Female 15-44,Cases 2011 Female 15-44,Cases 2012 Female 15-44,Cases 2013 Female 15-44,Cases 2014 Female 15-44
44,Avalon Park,29.0,51.0,30.0,19.0,35.0,23.0,26.0,34.0,22.0,34.0,41.0,51.0,37.0,42.0,69.0,76.0,73.0,74.0,97.0,97.0,106.0,76.0,94,93.0,70.0,98.0,82,87,84
45,South Chicago,93.0,142.0,94.0,103.0,132.0,107.0,109.0,61.0,76.0,112.0,112.0,124.0,113.0,119.0,315.0,336.0,330.0,339.0,283.0,374.0,353.0,382.0,341,386.0,314.0,385.0,374,319,304
46,Burnside,11.0,15.0,23.0,18.0,18.0,19.0,18.0,11.0,6.0,10.0,20.0,24.0,14.0,16.0,27.0,32.0,24.0,31.0,38.0,34.0,31.0,47.0,41,30.0,50.0,49.0,32,21,29
47,Calumet Heights,31.0,42.0,44.0,28.0,47.0,50.0,43.0,23.0,25.0,32.0,39.0,41.0,36.0,47.0,90.0,115.0,88.0,105.0,97.0,103.0,125.0,124.0,120,103.0,110.0,105.0,149,119,74
48,Roseland,201.0,314.0,195.0,185.0,193.0,202.0,218.0,144.0,91.0,167.0,246.0,268.0,212.0,181.0,494.0,486.0,474.0,511.0,490.0,508.0,535.0,532.0,532,517.0,530.0,613.0,569,477,447
49,Pullman,21.0,34.0,19.0,16.0,25.0,22.0,22.0,19.0,20.0,9.0,28.0,32.0,26.0,21.0,74.0,78.0,68.0,70.0,90.0,89.0,70.0,60.0,66,70.0,75.0,58.0,77,51,68
50,South Deering,25.0,55.0,51.0,28.0,39.0,31.0,42.0,21.0,24.0,41.0,43.0,46.0,34.0,61.0,106.0,125.0,111.0,129.0,101.0,112.0,117.0,94.0,95,122.0,134.0,117.0,130,128,129
51,East Side,14.0,15.0,14.0,10.0,13.0,20.0,12.0,15.0,11.0,12.0,20.0,17.0,26.0,26.0,36.0,53.0,53.0,55.0,58.0,59.0,38.0,48.0,77,56.0,54.0,61.0,84,83,74
52,West Pullman,125.0,165.0,130.0,106.0,171.0,182.0,150.0,101.0,79.0,98.0,141.0,149.0,116.0,111.0,347.0,352.0,335.0,398.0,386.0,418.0,411.0,447.0,405,360.0,362.0,396.0,380,292,356
53,Riverdale,28.0,41.0,39.0,44.0,37.0,26.0,27.0,11.0,,17.0,23.0,26.0,27.0,32.0,108.0,91.0,77.0,123.0,96.0,117.0,105.0,98.0,67,72.0,57.0,78.0,137,122,112
54,Hegewisch,,,,,6.0,,,,,,,8.0,8.0,5.0,11.0,15.0,16.0,15.0,18.0,14.0,6.0,12.0,9,18.0,9.0,23.0,25,25,25
55,Garfield Ridge,26.0,36.0,26.0,10.0,26.0,30.0,17.0,18.0,22.0,25.0,36.0,29.0,31.0,36.0,51.0,48.0,67.0,77.0,58.0,83.0,86.0,83.0,107,95.0,64.0,69.0,73,71,101
56,Archer Heights,,8.0,,5.0,9.0,16.0,,13.0,8.0,8.0,15.0,8.0,15.0,17.0,13.0,9.0,18.0,22.0,30.0,31.0,22.0,31.0,36,44.0,32.0,54.0,67,47,64
57,Brighton Park,23.0,38.0,36.0,35.0,38.0,29.0,26.0,27.0,33.0,32.0,53.0,50.0,56.0,69.0,79.0,102.0,89.0,155.0,101.0,119.0,151.0,145.0,159,159.0,150.0,192.0,164,174,203
58,McKinley Park,,9.0,9.0,5.0,5.0,8.0,10.0,5.0,10.0,19.0,18.0,13.0,17.0,20.0,27.0,36.0,33.0,33.0,40.0,46.0,47.0,40.0,40,53.0,47.0,58.0,72,54,65
59,Bridgeport,10.0,11.0,18.0,10.0,12.0,12.0,26.0,22.0,18.0,13.0,18.0,21.0,39.0,23.0,43.0,48.0,36.0,43.0,60.0,59.0,59.0,70.0,61,70.0,53.0,65.0,77,77,77
60,New City,106.0,213.0,122.0,82.0,91.0,131.0,92.0,71.0,90.0,105.0,131.0,133.0,113.0,137.0,293.0,342.0,373.0,396.0,380.0,363.0,352.0,326.0,362,401.0,355.0,380.0,365,359,392
